,gene_ids,new_names
0,AT3G11415,AT3G11415
1,AT1G31258,AT1G31258
2,AT5G24735,AT5G24735
3,AT2G45780,AT2G45780
4,AT2G42425,AT2G42425
5,AT4G01533,AT4G01533
6,AT4G09195,AT4G09195
7,AT1G79075,AT1G79075
8,AT5G10278,AT5G10278
9,AT1G67238,AT1G67238
10,AT4G36648,AT4G36648
11,AT4G03605,AT4G03605
12,AT2G15128,AT2G15128
13,AT3G02832,AT3G02832
14,AT3G48115,AT3G48115
15,AT1G07977,AT1G07977
16,AT1G18745,AT1G18745
17,AT5G40275,AT5G40275
18,AT4G09405,AT4G09405
19,AT5G02975,AT5G02975
20,AT5G24206,AT5G24206
21,AT5G23155,AT5G23155
22,AT3G45638,AT3G45638
23,AT5G24205,AT5G24205
24,AT5G03285,AT5G03285
25,AT3G00980,AT3G00980
26,AT3G25795,AT3G25795
27,AT2G42485,AT2G42485
28,AT3G52748,AT3G52748
29,AT3G52742,AT3G52742
30,AT3G60176,AT3G60176
31,AT1G32172,AT1G32172
32,AT1G26558,AT1G26558
33,AT4G16892,AT4G16892
34,AT2G10537,AT2G10537
35,AT1G78865,AT1G78865
36,AT2G09215,AT2G09215
37,AT1G10682,AT1G10682
38,AT2G19796,AT2G19796
39,AT1G04425,AT1G04425
40,AT1G15405,AT1G15405
41,AT2G45245,AT2G45245
42,AT1G06677,AT1G06677
43,AT2G45023,AT2G45023
44,AT1G14518,AT1G14518
45,AT5G05785,AT5G05785
46,AT1G19968,AT1G19968
47,AT2G36307,ZPR4
48,AT1G24068,AT1G24068
49,AT3G44798,AT3G44798
50,AT5G06095,AT5G06095
51,AT1G08933,AT1G08933
52,AT3G04535,AT3G04535
53,AT4G30872,AT4G30872
54,AT3G07485,AT3G07485
55,AT3G03065,AT3G03065
56,AT5G33439,AT5G33439
57,AT3G05215,AT3G05215
58,AT5G05295,AT5G05295
59,AT3G61198,AT3G61198
60,AT5G22788,AT5G22788
61,AT1G70581,AT1G70581
62,AT4G30975,AT4G30975
63,AT1G58808,AT1G58808
64,AT3G04485,AT3G04485
65,AT3G08410,AT3G08410
66,AT5G23410,AT5G23410
67,AT4G05365,AT4G05365
68,AT5G43725,AT5G43725
69,AT1G25175,AT1G25175
70,AT1G11592,AT1G11592
71,AT4G26255,AT4G26255
72,AT2G09155,AT2G09155
73,AT1G70185,AT1G70185
74,AT4G23205,AT4G23205
75,AT4G08035,AT4G08035
76,AT1G26235,AT1G26235
77,AT1G34418,AT1G34418
78,AT3G57157,AT3G57157
79,AT1G08823,AT1G08823
80,AT4G40065,AT4G40065
81,AT1G64572,AT1G64572
82,AT3G60238,AT3G60238
83,AT5G28262,AT5G28262
84,AT2G39681,TAS2
85,AT4G05940,AT4G05940
86,AT4G04315,AT4G04315
87,AT5G02135,AT5G02135
88,AT5G34871,AT5G34871
89,AT5G38005,AT5G38005
90,AT4G39404,AT4G39404
91,AT2G42388,AT2G42388
92,AT1G31935,AT1G31935
93,AT2G07975,AT2G07975
94,AT2G07575,AT2G07575
95,AT5G43403,AT5G43403
96,AT3G05185,AT3G05185
97,AT1G11175,AT1G11175
98,AT5G37485,AT5G37485
99,AT1G49952,AT1G49952
100,AT3G59765,AT3G59765
101,AT3G07635,AT3G07635
102,AT3G03695,AT3G03695
103,AT4G03811,AT4G03811
104,AT2G18735,AT2G18735
105,AT1G66173,AT1G66173
106,AT1G58590,AT1G58590
107,AT1G49832,AT1G49832
108,AT1G21529,AT1G21529
109,AT1G09583,AT1G09583
110,AT4G13495,AT4G13495
111,AT3G17185,TASIR-ARF
112,AT2G15555,AT2G15555
113,AT1G55525,AT1G55525
114,AT1G05813,AT1G05813
115,AT1G07257,AT1G07257
116,AT4G14548,AT4G14548
117,AT5G28824,AT5G28824
118,AT3G13277,AT3G13277
119,AT1G77138,AT1G77138
120,AT1G64618,AT1G64618
121,AT1G70518,AT1G70518
122,AT5G08575,AT5G08575
123,AT2G44995,AT2G44995
124,AT1G50055,TAS1B
125,AT3G14185,AT3G14185
126,AT1G23052,AT1G23052
127,AT4G02005,AT4G02005
128,AT1G34392,AT1G34392
129,AT2G30945,AT2G30945
130,AT2G14878,AT2G14878
131,AT4G15242,AT4G15242
132,AT3G46614,AT3G46614
133,AT1G33615,AT1G33615
134,AT5G49615,TAS3b
135,AT4G16748,AT4G16748
136,AT4G12917,AT4G12917
137,AT4G10507,AT4G10507
138,AT3G07215,AT3G07215
139,AT5G08125,AT5G08125
140,AT2G05518,AT2G05518
141,AT3G41761,AT3G41761
142,AT3G06962,AT3G06962
143,AT3G05152,AT3G05152
144,AT1G08253,AT1G08253
145,AT3G44765,AT3G44765
146,AT3G15536,AT3G15536
147,AT2G06562,AT2G06562
148,AT1G09073,AT1G09073
149,AT2G15292,AT2G15292
150,AT4G04223,AT4G04223
151,AT1G07507,AT1G07507
152,AT5G06955,AT5G06955
153,AT1G46554,AT1G46554
154,AT2G06002,AT2G06002
155,AT5G33399,AT5G33399
156,AT1G50659,AT1G50659
157,AT3G12965,AT3G12965
158,AT1G05697,AT1G05697
159,AT3G26612,AT3G26612
160,AT1G04867,AT1G04867
161,AT2G08610,AT2G08610
162,AT3G27884,AT3G27884
163,AT2G27400,TAS1A
164,AT1G52347,AT1G52347
165,AT1G64563,AT1G64563
166,AT2G24735,AT2G24735
167,AT2G21188,AT2G21188
168,AT3G06125,AT3G06125
169,AT2G32795,AT2G32795
170,AT4G06701,AT4G06701
171,AT4G31408,AT4G31408
172,AT3G53365,AT3G53365
173,AT1G06797,AT1G06797
174,AT5G40316,AT5G40316
175,AT2G43375,AT2G43375
176,AT2G09475,AT2G09475
177,AT1G43765,AT1G43765
178,AT3G61118,AT3G61118
179,AT5G45475,AT5G45475
180,AT2G05685,AT2G05685
181,AT2G07042,AT2G07042
182,AT1G16635,AT1G16635
183,AT2G07405,AT2G07405
184,AT2G22482,AT2G22482
185,AT2G18440,GUT15
186,AT1G11185,AT1G11185
187,AT4G05905,AT4G05905
188,AT5G00885,AT5G00885
189,AT1G05547,AT1G05547
190,AT5G44569,AT5G44569
191,AT2G39675,TAS1C
192,AT1G08493,AT1G08493
193,AT1G09277,AT1G09277
194,AT1G22403,AT1G22403
195,AT3G55485,AT3G55485
196,AT5G48412,AT5G48412
197,AT3G60972,AT3G60972
198,AT2G09365,AT2G09365
199,AT4G16355,AT4G16355
200,AT4G03038,AT4G03038
201,AT1G67105,AT1G67105
202,AT2G41312,AT2G41312
203,AT3G18362,AT3G18362
204,AT2G04705,AT2G04705
205,AT1G52615,AT1G52615
206,AT2G30115,AT2G30115
207,AT5G07322,AT5G07322
208,AT5G06165,AT5G06165
209,AT5G02825,AT5G02825
210,AT5G57735,TASIR-ARF
211,AT1G57835,AT1G57835
212,AT1G68872,AT1G68872
213,AT5G50190,AT5G50190
214,AT3G54366,AT3G54366
215,AT1G69252,AT1G69252
216,AT2G31585,AT2G31585
217,AT2G46192,AT2G46192
218,AT2G01422,AT2G01422
219,AT2G05995,AT2G05995
220,AT3G41768,AT3G41768
221,AT4G03935,AT4G03935
222,ATCG00950,RRN23S.1
223,ATCG01180,RRN23S.2
224,AT3G41979,AT3G41979
225,ATMG00020,RRN26
226,AT2G01020,AT2G01020
227,ATCG01170,RRN4.5S.2
228,ATCG00920,RRN16S.1
229,ATMG01390,RRN18
230,ATCG01210,RRN16S.2
231,ATCG01160,RRN5S
232,ATCG00970,RRN5S
233,ATMG01380,RRN5
234,AT2G01010,AT2G01010
235,ATCG00960,RRN4.5S.1
236,AT4G18725,AT4G18725
237,AT1G61910,AT1G61910
238,AT1G56940,AT1G56940
239,ATMG00800,TRNE
240,AT3G63003,AT3G63003
241,AT1G56990,AT1G56990
242,AT2G45020,AT2G45020
243,AT5G02505,AT5G02505
244,AT1G10440,AT1G10440
245,AT3G46585,AT3G46585
246,AT1G61880,AT1G61880
247,AT1G05980,AT1G05980
248,AT2G22220,AT2G22220
249,AT1G57170,AT1G57170
250,AT1G48080,AT1G48080
251,AT1G60580,AT1G60580
252,AT2G17810,AT2G17810
253,AT4G16465,AT4G16465
254,AT3G05835,AT3G05835
255,AT1G80430,AT1G80430
256,AT5G58495,AT5G58495
257,AT1G60910,AT1G60910
258,AT1G56760,AT1G56760
259,AT5G09345,AT5G09345
260,AT5G49435,AT5G49435
261,AT1G09110,AT1G09110
262,AT1G74610,AT1G74610
263,AT5G43535,AT5G43535
264,AT2G30850,AT2G30850
265,AT1G56970,AT1G56970
266,AT1G04720,AT1G04720
267,AT5G27715,AT5G27715
268,AT3G51265,AT3G51265
269,AT5G35605,AT5G35605
270,AT1G13010,AT1G13010
271,ATCG00880,TRNL.2
272,AT2G16240,AT2G16240
273,ATCG00410,TRNF
274,AT1G45238,AT1G45238
275,AT3G16552,AT3G16552
276,AT5G14495,AT5G14495
277,AT1G57370,AT1G57370
278,AT1G57480,AT1G57480
279,AT4G03135,AT4G03135
280,AT2G35220,AT2G35220
281,ATMG09450,ATMG09450
282,AT3G02315,AT3G02315
283,AT1G56980,AT1G56980
284,AT1G70050,AT1G70050
285,AT3G30345,AT3G30345
286,AT5G66568,AT5G66568
287,AT1G28730,AT1G28730
288,ATMG00420,TRNS.3
289,AT4G25435,AT4G25435
290,AT3G12585,AT3G12585
291,AT3G52285,AT3G52285
292,AT3G18815,AT3G18815
293,AT5G07625,AT5G07625
294,AT1G45246,AT1G45246
295,AT4G16475,AT4G16475
296,AT1G08870,AT1G08870
297,AT3G15585,AT3G15585
298,AT1G56830,AT1G56830
299,AT1G73900,AT1G73900
300,AT4G39615,AT4G39615
301,AT4G24025,AT4G24025
302,AT1G07760,AT1G07760
303,AT5G56745,AT5G56745
304,AT1G57140,AT1G57140
305,AT4G31695,AT4G31695
306,AT1G22320,AT1G22320
307,AT5G59945,AT5G59945
308,AT1G16450,AT1G16450
