,sample1,sample2,sample3
AT1G01010,140.8072897,118.7280362,125.1032145
AT1G01020,862.9780102,873.4991237,940.2288464
AT1G03987,0,0.942286002,0
AT1G01030,219.7447096,99.8823162,122.1711079
AT1G01040,3252.435047,3352.653595,2830.460228
AT1G03993,81.07086375,167.7269083,68.41582042
AT1G01046,144.0074553,146.9966163,104.5784684
AT1G01050,2975.087355,2574.325357,2791.365473
AT1G03997,0,12.24971802,2.932106589
AT1G01060,68.27020105,30.15315206,54.73265634
AT1G01070,14.93410648,0,0
AT1G01080,1783.559002,2046.645196,1718.214461
AT1G01090,5038.127493,4419.321349,4045.329725
AT1G01100,23314.27366,21060.09214,25506.39522
AT1G01110,1172.327359,1236.279234,1374.180622
AT1G01120,1953.167783,3014.37292,1679.119707
AT1G01130,294.415242,610.6013292,515.0733909
AT1G01140,2486.528729,2319.908137,1849.181889
AT1G01150,141.8740116,31.09543806,51.80054975
AT1G01160,3522.315686,3330.038731,4184.116103
AT1G04007,822.4425783,1003.534592,890.3830343
AT1G01170,3052.958053,2693.053393,3680.771139
AT1G04013,1503.011145,1398.352427,1631.228633
AT1G01180,44.80231944,64.07544813,31.27580362
AT1G01183,0,2.826858006,0
AT1G01190,7.46705324,17.90343404,18.5700084
AT1G01200,23.46788161,22.61486404,9.773688632
AT1G01210,931.2482112,724.6179354,934.3646332
AT1G04017,135.4736802,117.7857502,166.1527067
AT1G01220,1343.002861,1331.450121,1143.52157
AT1G04023,51.20265079,32.03772406,19.54737726
AT1G01225,264.5470291,261.0132225,262.9122242
AT1G01230,872.5785072,681.2727793,808.2840498
AT1G01240,523.7604487,537.1030211,454.4765214
AT1G01250,68.27020105,114.9588922,61.57423838
AT1G01260,808.5751937,873.4991237,714.456639
AT1G01280,0,2085.278922,348.9206841
AT1G01290,672.0347916,649.2350553,736.9361228
AT1G01300,8083.618493,9393.649152,7842.407758
AT1G01305,0,5.653716011,0
AT1G01310,59.73642592,33.92229607,54.73265634
AT1G01320,6553.939301,8491.881449,5606.187799
AT1G01335,0,0,0
AT1G01340,51.20265079,74.44059415,39.09475453
AT1G01350,1034.720235,965.8431519,1059.467848
AT1G01355,19.20099405,11.30743202,10.75105749
AT1G01360,509.8930641,424.0287008,488.6844316
AT1G01370,1094.456661,1077.0329,1362.452195
AT1G01380,12.8006627,1.884572004,3.909475453
AT1G01390,0,1.884572004,0.977368863
AT1G01400,74.6705324,115.9011782,53.75528747
AT1G01410,0,1.884572004,5.864213179
AT1G01420,5.333609457,10.36514602,0
AT1G01430,909.9137734,933.8054278,653.8597695
AT1G01440,643.2333005,572.9098891,616.7197527
AT1G01448,561.0957149,608.7167572,558.0776209
AT1G01450,360.5519993,422.1441288,302.9843476
AT1G01453,1.066721891,0,1.954737726
AT1G01460,0,7.538288015,11.72842636
AT1G01470,425.6220347,342.9921047,52.77791861
AT1G01480,6.400331349,0,0
AT1G01490,1714.22208,1723.441097,1686.938658
AT1G01500,413.8880939,370.3183987,427.1101932
AT1G01510,2754.275924,2726.975689,3030.820845
AT1G01520,48.00248512,52.7680161,40.07212339
AT1G01530,1.066721891,0,1.954737726
AT1G01540,2471.594622,2702.476253,2202.012049
AT1G01550,3904.202123,3447.824481,3343.578881
AT1G01560,50.1359289,65.01773413,50.82318088
AT1G01570,109.8723548,133.8046123,118.2616324
AT1G01580,0,4.711430009,0
AT1G01590,49.06920701,10.36514602,34.20791021
AT1G01600,796.8412529,402.3561228,417.3365046
AT1G01610,2674.271782,2197.410956,1818.883454
AT1G01620,17822.78936,18019.33521,19376.33771
AT1G01630,1188.328187,1600.943917,1349.7464
AT1G01640,59.73642592,30.15315206,43.98159884
AT1G01650,2196.380374,2137.104652,2031.949866
AT1G04027,33.06837863,31.09543806,13.68316408
AT1G01660,118.40613,153.5926183,159.3111247
AT1G01670,154.6746743,132.8623263,159.3111247
AT1G01680,2.133443783,21.67257804,0.977368863
AT1G01690,898.1798326,800.9431016,965.6404368
AT1G01695,23.46788161,74.44059415,60.59686952
AT1G04033,0,0,0
AT1G04037,74.6705324,71.61373614,75.25740246
AT1G01700,201.6104375,165.8423363,179.8358708
AT1G01710,1476.343098,1311.662115,1423.049065
AT1G01715,362.6854431,286.4549446,345.9885776
AT1G04043,0,0.942286002,0
AT1G01720,872.5785072,869.7299797,1130.815775
AT1G01725,554.6953836,361.8378247,450.5670459
AT1G04047,497.0924014,309.0698086,365.5359548
AT1G01730,1484.876873,1543.464471,1694.757609
AT1G01740,201.6104375,245.9366465,238.4780026
AT1G01750,110.9390767,133.8046123,147.5826983
AT1G04053,97.07169212,122.4971802,130.9674277
AT1G01760,187.7430529,197.8800604,213.0664122
AT1G04057,49.06920701,72.55602214,61.57423838
AT1G01770,696.5693951,620.0241892,557.100252
AT1G01780,544.0281646,402.3561228,368.4680614
AT1G01790,1562.747571,2042.876052,1355.610613
AT1G01800,1833.694931,1945.820594,1703.553928
AT1G01810,59.73642592,49.9411581,52.77791861
AT1G01820,2303.052564,1950.532024,2447.331633
AT1G01830,1027.253181,976.2082979,1312.606383
AT1G04067,122.6730175,126.2663242,188.6321906
AT1G01840,297.6154077,313.7812386,382.1512255
AT1G01860,539.7612771,558.7755991,452.5217836
AT1G04073,208.0107688,225.2063544,202.3153547
AT1G01870,4.266887566,1.884572004,4.886844316
AT1G01880,306.1491828,251.5903625,347.9433153
AT1G01890,1.066721891,0,0
AT1G01900,184.5428872,192.2263444,104.5784684
AT1G04077,133.3402364,131.9200403,68.41582042
AT1G01910,1863.563144,1844.995992,1791.517126
AT1G04083,474.6912417,437.2207049,422.2233489
AT1G01920,1581.948565,1454.889587,1701.599191
AT1G01930,694.4359513,659.6002013,783.8498283
AT1G01940,914.180661,873.4991237,1090.743651
AT1G01950,1348.336471,1327.680977,1328.244285
AT1G01960,3694.05791,4335.457894,4045.329725
AT1G01970,588.8304841,757.5979455,489.6618004
AT1G01980,2.133443783,16.01886203,2.932106589
AT1G01990,994.1848028,833.9231116,936.3193709
AT1G02000,332.8172301,366.5492547,237.5006337
AT1G02010,810.7086375,639.8121953,682.2034665
AT1G02020,525.8938925,515.430443,541.4623502
AT1G02030,29.86821296,15.07657603,43.98159884
AT1G02040,166.4086151,359.0109667,128.0353211
AT1G02050,875.7786729,9534.049767,2806.026006
AT1G02060,485.3584606,509.776727,407.5628159
AT1G02065,4720.24437,2775.974561,3452.066825
AT1G02067,2071.573913,1109.070624,1563.790181
AT1G02070,180.2759997,123.4394662,127.0579522
AT1G02080,5421.080652,6385.872235,5506.496175
AT1G02090,2413.99164,2428.271027,2896.92131
AT1G02100,1786.759168,1560.425619,1652.730748
AT1G02110,2332.920777,2101.297784,2330.04737
AT1G02120,2785.210859,2595.055649,2350.572116
AT1G02130,1962.76828,1904.36001,2132.618859
AT1G04087,0,3.769144007,0
AT1G02140,5716.562616,5933.574954,6340.191815
AT1G02145,1297.13382,1208.010654,1384.931679
AT1G02150,3180.96468,3183.9844,3048.413484
AT1G02160,1109.390767,857.4802617,1301.855326
AT1G02170,918.4475485,878.2105537,816.1030007
AT1G02180,664.5677384,640.7544813,804.3745744
AT1G02190,5214.136605,4336.40018,5594.459373
AT1G02205,9794.640407,8305.30882,7813.086692
AT1G04093,4.266887566,8.480574017,15.63790181
AT1G02220,5.333609457,14.13429003,19.54737726
AT1G02230,11.73394081,2.826858006,23.45685272
AT1G02250,0,5.653716011,9.773688632
AT1G02260,1450.741772,1292.816395,1422.071696
AT1G02270,599.497703,506.007583,645.0634497
AT1G02280,4164.482264,3475.150775,3919.249141
AT1G02290,608.0314781,698.2339274,625.5160724
AT1G02300,798.9746967,687.8687813,766.2571887
AT1G02305,2522.797273,1946.76288,2093.524105
AT1G04097,378.6862715,395.7601208,217.9532565
AT1G02310,49.06920701,23.55715005,29.32106589
AT1G04103,9.600497023,5.653716011,1.954737726
AT1G02320,3.200165674,0.942286002,0
AT1G02330,1626.750884,1650.885075,1715.282355
AT1G02335,38.40198809,24.49943605,11.72842636
AT1G02340,124.8064613,71.61373614,134.8769031
AT1G02350,146.1408991,158.3040483,219.9079942
AT1G02360,14.93410648,31.09543806,15.63790181
AT1G02370,836.3099629,748.1750855,871.8130259
AT1G02380,136.5404021,163.0154783,145.6279606
AT1G02390,23.46788161,15.07657603,10.75105749
AT1G02400,20.26771594,244.9943605,96.75951745
AT1G02405,4.266887566,0,0
AT1G02410,1100.856992,1009.188308,1162.091578
AT1G02420,228.2784848,295.8778046,231.6364206
AT1G04117,299.7488515,335.4538167,308.8485608
AT1G02430,188.8097748,194.1109164,230.6590517
AT1G04123,13.86738459,5.653716011,24.43422158
AT1G02440,2.133443783,25.44172205,10.75105749
AT1G02450,74.6705324,80.09431016,248.2516912
AT1G02460,17.06755026,9.422860018,10.75105749
AT1G02470,32.00165674,310.9543806,32.25317248
AT1G02475,554.6953836,501.296153,480.8654807
AT1G02480,0,0,0
AT1G02490,17.06755026,21.67257804,24.43422158
AT1G02500,9930.114087,9123.21307,8633.099168
AT1G02510,75.73725429,39.57601208,68.41582042
AT1G02520,45.86904133,75.38288015,50.82318088
AT1G02530,132.2735145,198.8223464,133.8995343
AT1G02540,0,4.711430009,5.864213179
AT1G02550,0,0,0
AT1G02560,5301.6078,6104.12872,5377.483485
AT1G02570,1.066721891,0.942286002,0
AT1G02575,0,0,0
AT1G02580,2.133443783,1.884572004,2.932106589
AT1G04127,1.066721891,8.480574017,4.886844316
AT1G02590,2.133443783,0,0
AT1G02610,71.47036673,13.19200403,51.80054975
AT1G02620,8.533775132,0,5.864213179
AT1G04133,1.066721891,0,0
AT1G04137,0,0,0.977368863
AT1G02630,21.33443783,53.71030211,26.38895931
AT1G02640,2294.518788,1666.903937,2457.105322
AT1G02650,30.93493485,16.01886203,17.59263954
AT1G02660,269.8806385,196.9377744,312.7580362
AT1G02670,436.2892536,615.3127592,509.2091777
AT1G02680,897.1131107,726.5025074,1006.689929
AT1G02690,2201.713984,2109.778358,2917.446057
AT1G02700,0,0,2.932106589
AT1G02705,9.600497023,24.49943605,6.841582042
AT1G02710,9.600497023,24.49943605,6.841582042
AT1G02720,722.1707205,690.6956394,833.6956403
AT1G02730,4553.835755,4905.540926,5323.728198
AT1G02740,451.2233601,458.8932829,460.3407345
AT1G02750,461.890579,414.6058408,430.0422998
AT1G02770,28.80149107,38.63372608,25.41159044
AT1G02780,45828.5059,47354.58302,52435.83951
AT1G02790,7189.705548,95.17088619,30.29843476
AT1G02800,2949.48603,2971.97005,3460.863144
AT1G02810,234.6788161,175.2651963,185.700084
AT1G02813,3.200165674,9.422860018,1.954737726
AT1G02816,521.6270049,463.6047129,503.3449645
AT1G02820,4.266887566,44.28744209,20.52474613
AT1G02830,0,2.826858006,1.954737726
AT1G02840,9013.799983,7123.682174,8876.464015
AT1G02850,1066.721891,560.6601711,492.593907
AT1G02860,266.6804729,161.1309063,177.8811331
AT1G04147,76.80397618,57.47944611,41.04949225
AT1G02870,1526.479027,1253.240382,1517.853844
AT1G04153,20.26771594,14.13429003,8.796319768
AT1G02880,1173.394081,1049.706606,1048.71679
AT1G02890,2210.247759,2678.919103,2176.600458
AT1G02900,168.5420588,593.6401812,343.056471
AT1G02910,1254.464944,1413.429003,1227.575292
AT1G02920,42.66887566,40.51829808,3.909475453
AT1G02930,929.1147674,1229.683232,1260.805833
AT1G02940,32.00165674,40.51829808,53.75528747
AT1G02950,35.20182242,52.7680161,30.29843476
AT1G02952,34.13510053,44.28744209,29.32106589
AT1G02960,1038.987122,1112.839768,928.50042
AT1G02965,5.333609457,0.942286002,0
AT1G02970,407.4877625,554.0641691,523.8697107
AT1G02980,73.60381051,443.8167069,147.5826983
AT1G02990,734.9713832,966.7854379,816.1030007
AT1G03000,1204.329015,1218.3758,1098.562602
AT1G03010,6.400331349,2.826858006,6.841582042
AT1G03020,3.200165674,0,0
AT1G03030,859.7778445,897.0562738,1021.350462
AT1G03040,2943.085698,2762.782557,3179.380912
AT1G03050,6.400331349,13.19200403,9.773688632
AT1G03055,5.333609457,16.96114803,3.909475453
AT1G03060,2540.931545,2781.628277,2499.132183
AT1G03070,19.20099405,8.480574017,22.47948385
AT1G03080,3570.318171,3461.016485,3037.662427
AT1G03090,1344.069583,997.880876,1374.180622
AT1G04157,210.1442126,170.5537663,139.7637474
AT1G03100,385.0866028,326.9732426,482.8202184
AT1G04163,108.8056329,137.5737563,129.9900588
AT1G03103,0,0,0
AT1G03106,0,0,0
AT1G03110,1200.062128,1347.468983,1304.787432
AT1G03120,69.33692294,59.36401812,79.16687792
AT1G03130,2073.707357,4755.717451,2580.253799
AT1G03140,2255.050079,2159.719516,2637.918562
AT1G03150,721.1039986,677.5036353,852.2656487
AT1G04167,0,0.942286002,0
AT1G03160,1427.273891,1463.370161,1247.122669
AT1G03165,25.60132539,12.24971802,9.773688632
AT1G04173,25.60132539,11.30743202,8.796319768
AT1G03170,187.7430529,293.0509466,77.21214019
AT1G03180,275.214248,338.2806747,288.3238146
AT1G03190,624.0323065,683.1573513,702.7282126
AT1G04177,0,0,0
AT1G03200,62.9365916,69.72916414,73.30266474
AT1G03210,702.9697265,685.0419233,559.0549897
AT1G03220,1673.686648,2336.869285,1958.647202
AT1G03230,3081.759544,4043.349234,3926.090723
AT1G03240,3.200165674,21.67257804,2.932106589
AT1G03250,1138.192258,1094.936334,1258.851096
AT1G03260,389.3534904,429.6824168,350.8754219
AT1G03270,476.8246855,391.0486908,379.2191189
AT1G03280,2012.904209,2183.276666,2163.894663
AT1G03290,2256.1168,1840.284562,2204.944155
AT1G03300,651.7670757,638.8699093,765.2798199
AT1G03310,828.8429097,1335.219265,946.0930595
AT1G03320,2.133443783,0.942286002,2.932106589
AT1G03325,2.133443783,0,0.977368863
AT1G03330,1943.567286,1815.785126,2288.020509
AT1G03340,46.93576322,27.32629405,14.66053295
AT1G03350,1334.469086,1557.598761,1310.651645
AT1G03360,1101.923714,1132.627774,1428.913278
AT1G03365,810.7086375,948.8820039,979.3236009
AT1G03370,742.4384364,812.2505336,592.2855311
AT1G03380,899.2465545,927.2094258,690.0224174
AT1G03390,99.2051359,475.8544309,223.8174697
AT1G03395,35.20182242,161.1309063,63.52897611
AT1G03400,184.5428872,191.2840584,162.2432313
AT1G03410,1528.61247,1747.940533,1647.843903
AT1G04183,1473.142932,1678.211369,1597.020722
AT1G03430,574.9630995,706.7145014,652.8824006
AT1G03440,378.6862715,514.488157,475.9786364
AT1G03445,24.5346035,18.84572004,1.954737726
AT1G03457,1048.587619,1185.39579,1058.490479
AT1G03470,877.9121167,650.1773413,1012.554142
AT1G03475,3776.195496,4867.849486,3653.40481
AT1G03490,8.533775132,91.40174218,31.27580362
AT1G03495,93.87152645,82.92116816,77.21214019
AT1G04187,13.86738459,16.96114803,11.72842636
AT1G04193,10.66721891,21.67257804,3.909475453
AT1G03502,7.46705324,21.67257804,9.773688632
AT1G03506,12.8006627,21.67257804,6.841582042
AT1G04197,7.46705324,18.84572004,11.72842636
AT1G03510,108.8056329,127.2086102,118.2616324
AT1G03515,0,0,0
AT1G03520,551.4952179,452.2972809,411.4722914
AT1G03530,1446.474885,1519.907321,1335.085867
AT1G03540,117.3394081,131.9200403,96.75951745
AT1G03550,772.3066494,763.2516615,781.8950905
AT1G03545,701.9030046,726.5025074,698.8187372
AT1G03560,466.1574666,466.4315709,390.9475453
AT1G03590,1713.155358,1391.756425,1554.993861
AT1G03600,3135.095639,3228.271842,3058.187173
AT1G03610,792.5743653,531.449305,757.4608689
AT1G03620,48.00248512,448.5281369,282.4596015
AT1G03630,1648.085322,2550.768207,1508.080156
AT1G03650,236.8122599,202.5914904,187.6548217
AT1G03660,72.53708862,32.98001006,74.2800336
AT1G04203,20.26771594,1.884572004,8.796319768
AT1G03670,0,0,0
AT1G03680,3190.565177,3841.70003,3009.31873
AT1G03687,796.8412529,822.6156796,862.0393373
AT1G03700,105.6054673,0.942286002,54.73265634
AT1G03710,553.6286617,573.8521751,1089.766282
AT1G03720,131.2067926,130.0354683,198.4058792
AT1G04207,6.400331349,6.596002013,15.63790181
AT1G03730,377.6195496,375.0298287,457.408628
AT1G03740,509.8930641,532.391591,499.4354891
AT1G04213,12.8006627,27.32629405,27.36632817
AT1G03743,1.066721891,4.711430009,0.977368863
AT1G03746,1.066721891,7.538288015,6.841582042
AT1G03750,579.2299871,492.815579,525.8244484
AT1G03760,869.3783415,631.3316212,857.152493
AT1G03770,567.4960462,544.6413091,724.2303276
AT1G03780,2410.791475,2205.89153,2812.867588
AT1G03800,12.8006627,7.538288015,27.36632817
AT1G03810,0,0,1.954737726
AT1G03820,171.7422245,266.6669385,108.4879438
AT1G03830,1516.87853,1500.119315,1660.549699
AT1G03840,67.20347916,97.99774419,69.39318928
AT1G03850,71.47036673,39.57601208,50.82318088
AT1G03860,2939.885533,3080.33294,3133.444575
AT1G03870,438.4226974,146.0543303,73.30266474
AT1G03880,0,0,0
AT1G03890,0,0,0
AT1G03900,2311.586339,1985.396606,1879.480324
AT1G03905,135.4736802,150.7657603,123.1484768
AT1G03910,2683.872279,2564.902497,2879.328671
AT1G03920,60.80314781,19.78800604,22.47948385
AT1G03930,941.9154301,1020.49574,683.1808353
AT1G04217,34.13510053,19.78800604,22.47948385
AT1G03935,43.73559755,22.61486404,25.41159044
AT1G04223,33.06837863,22.61486404,16.61527067
AT1G03940,156.808118,193.1686304,137.8090097
AT1G04227,25.60132539,25.44172205,12.70579522
AT1G03950,250.6796445,210.1297784,168.1074445
